# URL Redirect Map: AtomicWiki → Blog
# old-url	new-url

# === Articles ===
/exist/apps/wiki/data/blogs/dizzzz/piedata.png	/exist/apps/blog/resources/images/piedata.png
/exist/apps/wiki/data/blogs/dizzzz/sbc3d.png	/exist/apps/blog/resources/images/sbc3d.png
/exist/apps/wiki/data/blogs/eXist/Bild%208.png	/exist/apps/blog/data/posts/2008/Bild 8.png
/exist/apps/wiki/data/blogs/eXist/dashboard-sm.png	/exist/apps/blog/resources/images/dashboard-sm.png
/exist/apps/wiki/data/blogs/eXist/dep-diagram.png	/exist/apps/blog/resources/images/dep-diagram.png
/exist/apps/wiki/data/blogs/eXist/EclipsePluginSmall.png	/exist/apps/blog/resources/images/EclipsePluginSmall.png
/exist/apps/wiki/data/blogs/eXist/eXide-live.png	/exist/apps/blog/data/posts/2014/eXide-live.png
/exist/apps/wiki/data/blogs/eXist/eXide-upload.png	/exist/apps/blog/data/posts/2014/eXide-upload.png
/exist/apps/wiki/data/blogs/eXist/eXide212.png	/exist/apps/blog/data/posts/2014/eXide212.png
/exist/apps/wiki/data/blogs/eXist/exportgui.png	/exist/apps/blog/data/posts/2008/exportgui.png
/exist/apps/wiki/data/blogs/eXist/group.jpg	/exist/apps/blog/data/posts/2010/group.jpg
/exist/apps/wiki/data/blogs/eXist/jconsole.png	/exist/apps/blog/data/posts/2008/jconsole.png
/exist/apps/wiki/data/blogs/eXist/mobile.png	/exist/apps/blog/data/posts/2017/mobile.png
/exist/apps/wiki/data/blogs/eXist/modelvalidator.png	/exist/apps/blog/data/posts/2015/modelvalidator.png
/exist/apps/wiki/data/blogs/eXist/monex.png	/exist/apps/blog/resources/images/monex.png
/exist/apps/wiki/data/blogs/eXist/packagemanager.png	/exist/apps/blog/resources/images/packagemanager.png
/exist/apps/wiki/data/blogs/eXist/picture1.jpg	/exist/apps/blog/data/posts/2009/picture1.jpg
/exist/apps/wiki/data/blogs/eXist/podcast_5_3.jpg	/exist/apps/blog/data/posts/2009/podcast_5_3.jpg
/exist/apps/wiki/data/blogs/eXist/profiling.png	/exist/apps/blog/data/posts/2014/profiling.png
/exist/apps/wiki/data/blogs/eXist/sarit.png	/exist/apps/blog/data/posts/2014/sarit.png
/exist/apps/wiki/data/blogs/eXist/sebastian.jpg	/exist/apps/blog/data/posts/2017/sebastian.jpg
/exist/apps/wiki/data/blogs/eXist/stream-listener.png	/exist/apps/blog/data/posts/2007/stream-listener.png
/exist/apps/wiki/data/blogs/eXist/TwitterReader.jpg	/exist/apps/blog/data/posts/2009/TwitterReader.jpg
/exist/apps/wiki/data/blogs/eXist/xmlprague-top-logo.png	/exist/apps/blog/data/posts/2010/xmlprague-top-logo.png
/exist/apps/wiki/data/blogs/eXist/xqts.png	/exist/apps/blog/data/posts/2007/xqts.png
/exist/apps/wiki/data/blogs/lts/monex.png	/exist/apps/blog/resources/images/monex.png
